,Nº de Série do DOF,RegistroEntrada
0,668530,2019-11-02 15:39:00
1,424502,2019-09-27 18:12:00
2,549785,2019-09-25 12:50:00
3,339788,2019-09-27 11:42:00
4,460049,2019-09-27 18:12:00
5,489566,2019-09-27 11:42:00
6,607602,2019-10-28 17:34:00
7,651024,2019-11-02 15:39:00
8,393751,2019-09-25 12:50:00
9,559895,2019-11-02 15:39:00
10,658865,2019-09-27 18:12:00
11,631012,2019-10-28 17:34:00
12,526674,2019-09-27 11:42:00
13,519403,2019-09-27 18:12:00
14,515945,2019-10-28 17:34:00
15,515312,2019-11-02 15:39:00
16,633716,2019-10-28 17:34:00
17,523301,2019-09-27 18:12:00
18,522980,2019-10-28 17:34:00
19,451398,2019-09-27 18:12:00
20,523250,2019-09-25 12:50:00
21,407252,2019-11-02 15:39:00
22,477607,2019-11-02 15:39:00
23,476805,2019-09-25 12:50:00
24,597386,2019-11-02 15:39:00
25,609597,2019-09-27 11:42:00
26,447369,2019-09-25 12:50:00
27,442984,2019-09-27 18:12:00
28,513818,2019-09-27 18:12:00
29,356735,2019-09-25 12:50:00
30,528560,2019-10-28 17:34:00
31,454148,2019-09-25 12:50:00
32,624453,2019-10-28 17:34:00
33,625301,2019-11-02 15:39:00
34,541759,2019-11-02 15:39:00
35,297318,2019-09-27 11:42:00
36,300146,2019-10-28 17:34:00
37,648459,2019-10-28 17:34:00
38,648311,2019-09-27 18:12:00
39,276266,2019-09-27 18:12:00
40,648383,2019-09-25 12:50:00
41,536789,2019-10-28 17:34:00
42,577992,2019-09-27 18:12:00
43,469164,2019-11-02 15:39:00
44,572685,2019-09-25 12:50:00
45,652537,2019-09-25 12:50:00
46,484088,2019-09-25 12:50:00
47,430832,2019-11-02 15:39:00
48,432366,2019-09-27 18:12:00
49,486613,2019-10-28 17:34:00
50,484373,2019-09-27 18:12:00
51,431519,2019-11-02 15:39:00
52,602809,2019-10-28 17:34:00
53,270381,2019-09-27 18:12:00
54,483604,2019-10-28 17:34:00
55,553417,2019-11-02 15:39:00
56,501066,2019-10-28 17:34:00
57,498665,2019-11-02 15:39:00
58,270359,2019-09-27 18:12:00
59,501013,2019-09-27 11:42:00
60,520611,2019-09-25 12:50:00
61,592696,2019-09-25 12:50:00
62,533986,2019-10-28 17:34:00
63,466830,2019-11-02 15:39:00
64,467952,2019-09-27 18:12:00
65,494144,2019-11-02 15:39:00
66,620903,2019-09-25 12:50:00
67,496467,2019-09-25 12:50:00
68,583088,2019-11-02 15:39:00
69,508728,2019-09-27 18:12:00
70,673078,2019-10-28 17:34:00
71,427448,2019-10-28 17:34:00
72,656496,2019-09-27 11:42:00
73,569628,2019-10-28 17:34:00
74,571220,2019-09-27 18:12:00
75,568524,2019-10-28 17:34:00
76,567447,2019-10-28 17:34:00
77,483037,2019-09-27 11:42:00
78,520591,2019-09-27 18:12:00
79,417009,2019-09-25 12:50:00
80,570330,2019-09-27 11:42:00
81,270408,2019-09-25 12:50:00
82,399981,2019-09-27 18:12:00
83,513793,2019-09-25 12:50:00
84,503651,2019-11-02 15:39:00
85,583328,2019-09-25 12:50:00
86,302672,2019-09-25 12:50:00
87,605790,2019-10-28 17:34:00
88,435823,2019-10-28 17:34:00
89,588604,2019-10-28 17:34:00
90,566298,2019-09-27 18:12:00
91,582841,2019-09-25 12:50:00
92,508786,2019-10-28 17:34:00
93,347096,2019-10-28 17:34:00
94,432807,2019-09-25 12:50:00
95,446831,2019-10-28 17:34:00
96,447374,2019-09-25 12:50:00
97,414566,2019-09-27 11:42:00
98,613270,2019-11-02 15:39:00
99,615497,2019-11-02 15:39:00
100,570814,2019-09-27 11:42:00
101,635053,2019-09-25 12:50:00
102,522470,2019-09-27 18:12:00
103,522604,2019-09-27 11:42:00
104,523260,2019-09-27 11:42:00
105,514626,2019-11-02 15:39:00
106,514853,2019-11-02 15:39:00
107,492714,2019-09-27 18:12:00
108,502863,2019-10-28 17:34:00
109,630670,2019-11-02 15:39:00
110,683785,2019-11-02 15:39:00
111,662931,2019-09-27 18:12:00
112,662675,2019-09-27 11:42:00
113,622903,2019-09-27 18:12:00
114,674090,2019-11-02 15:39:00
115,560121,2019-11-02 15:39:00
116,541645,2019-09-27 11:42:00
117,642266,2019-09-27 11:42:00
118,623222,2019-09-27 18:12:00
119,465961,2019-09-27 11:42:00
120,383232,2019-11-02 15:39:00
121,623532,2019-09-27 18:12:00
122,623568,2019-09-27 11:42:00
123,624467,2019-10-28 17:34:00
124,540889,2019-09-25 12:50:00
125,705134,2019-10-28 17:34:00
126,706875,2019-09-27 11:42:00
127,541837,2019-10-28 17:34:00
128,469888,2019-09-25 12:50:00
129,533819,2019-11-02 15:39:00
130,543040,2019-09-25 12:50:00
131,534592,2019-09-25 12:50:00
132,537645,2019-09-25 12:50:00
133,524254,2019-09-27 18:12:00
134,368561,2019-10-28 17:34:00
135,528785,2019-09-25 12:50:00
136,592034,2019-10-28 17:34:00
137,588473,2019-09-25 12:50:00
138,693436,2019-09-27 18:12:00
139,250926,2019-09-25 12:50:00
